Id,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,Price
247,69,0.9142,6,8,1910,0,1.02,1.02,0.908,1.02,0,1.928,0,2,0,4,2,9,0,1,0.44,0,0.6,1.12,4,1.37
765,30,0.9549,8,5,1995,0.437,0,1.494,1.494,0,0,1.494,1,1,1,2,1,6,1,2,0.481,0,0.3,0,4,2.7
714,60,0.9873,4,5,1970,0.789,0.171,0.96,0.96,0,0,0.96,1,1,0,3,1,6,0,2,0.576,0,2.88,0,5,1.29
925,79,1.024,6,6,1980,0.625,0,1.686,1.686,0,0,1.686,1,2,0,3,1,7,1,2,0.612,3.84,1.31,0,5,2.075
484,32,0.45,6,5,1998,0.897,0.319,1.216,1.216,0,0,1.216,1,2,0,2,1,5,0,2,0.402,0,1.25,0,5,1.64
282,60,0.72,6,5,2006,0.905,0.357,1.262,1.262,0,0,1.262,0,2,0,2,1,5,0,2,0.572,0,1.2,0,5,1.85
701,85,1.4331,8,5,2002,1.274,0.526,1.8,1.8,0,0,1.8,1,2,0,3,1,7,1,3,0.765,2.7,0.78,0,5,3.125
1215,69,1.0205,5,5,1962,0.784,0.141,0.925,0.999,0,0,0.999,1,1,0,3,1,6,0,1,0.3,1.5,0.72,0,5,1.345
131,88,1.42,7,6,1966,0.445,0.479,0.924,1.216,0.941,0,2.157,0,2,1,4,1,8,2,2,0.487,1.05,0.66,0,5,2.26
61,63,1.3072,6,5,2004,0.941,0.217,1.158,1.158,0,0,1.158,1,1,1,3,1,5,0,2,0.576,0,0.5,0,5,1.58
1210,85,1.0182,8,5,2006,1.22,0.44,1.66,1.66,0,0,1.66,1,2,0,3,1,8,1,2,0.5,3.22,0.5,0,5,2.9
339,91,1.4145,7,7,1984,0.213,0.995,1.208,1.621,0,0,1.621,1,2,0,3,1,8,0,2,0.44,1.08,0.45,0,5,2.025
1435,80,1.74,5,5,1977,0.936,0.19,1.126,1.126,0,0,1.126,1,2,0,3,1,5,1,2,0.484,2.95,0.41,0,5,1.6
194,24,0.2522,7,5,2004,0,0.97,0.97,0.97,0.739,0,1.709,0,2,0,3,1,7,0,2,0.38,0,0.4,0,5,1.3
1030,21,0.168,6,7,1972,0.317,0.355,0.672,0.672,0.546,0,1.218,0,1,1,3,1,7,0,1,0.264,0,0.28,0,5,1.18
1453,35,0.3675,5,5,2005,0.547,0,0.547,1.072,0,0,1.072,1,1,0,2,1,5,0,2,0.525,0,0.28,0,5,1.45
1208,70,0.9135,6,5,2003,0.34,1.342,1.682,1.7,0,0,1.7,1,2,0,3,1,7,0,2,0.544,1.92,0.23,0,5,2
1232,70,0.7728,5,6,1962,0.803,0.303,1.106,1.19,0,0,1.19,1,1,0,3,1,6,0,2,0.54,0,0.18,0,5,1.325
720,69,0.992,5,6,1969,0.523,0.448,0.971,0.971,0,0,0.971,0,1,1,3,1,5,1,1,0.3,0,0,0,5,1.285
45,70,0.7945,5,6,1959,0.179,0.465,1.15,1.15,0,0,1.15,1,1,0,3,1,6,0,1,0.3,0,0,0,5,1.41
493,105,1.5578,6,5,2006,0,0.728,0.728,0.728,0.728,0,1.456,0,2,1,3,1,8,0,2,0.429,0,0,0,5,1.72785
216,72,1.0011,5,6,1957,0.36,0.71,1.07,1.236,0,0,1.236,0,1,0,2,1,6,1,1,0.447,0,0,0,5,1.3445
780,78,1.053,6,5,1977,0.975,0,0.975,1.004,0,0,1.004,1,1,0,2,1,4,0,2,0.504,0,0,0,5,1.35
1079,37,0.4435,6,5,2004,0.662,0.186,0.848,0.848,0,0,0.848,1,1,0,1,1,3,1,2,0.42,1.4,0,0,5,1.559
489,60,1.08,5,4,1900,0.664,0.29,0.954,1.766,0.648,0,2.414,0,2,0,3,2,10,1,2,0.52,1.42,0,0,5,1.6
999,60,0.9786,3,4,1922,0,1.007,1.007,1.077,0,0,1.077,0,1,0,3,1,6,1,1,0.21,0,1,0.48,5,0.91
677,60,0.96,4,2,1900,0,1.095,1.095,1.095,0.679,0,1.774,1,2,0,4,2,8,0,3,0.779,0,0,0.9,5,0.87
203,50,0.7,6,6,1924,0.617,0,0.617,0.865,0.445,0,1.31,0,2,0,2,1,6,0,1,0.398,0,0,1.26,5,1.12
578,96,1.1777,5,6,1966,0.328,0.285,1.164,1.32,0,0,1.32,1,1,0,3,1,6,2,2,0.564,1.6,0.68,2.4,5,1.645
1421,90,1.17,6,6,1968,0.404,0.304,0.708,0.708,0.708,0,1.416,0,2,1,3,1,7,1,2,0.776,0,1.69,0,5,1.799
557,69,1.485,5,5,1957,0.895,0.197,1.092,1.092,0,0,1.092,1,1,0,2,1,6,1,1,0.299,2.68,0,0,5,1.41
313,65,0.78,5,7,1939,0.507,0.286,0.793,0.793,0.325,0,1.118,1,1,0,3,1,5,1,2,0.41,0,0,0,5,1.199
1373,75,0.975,7,6,1998,0.975,0.133,1.108,1.108,0.989,0,2.097,1,2,1,3,1,8,1,2,0.583,2.53,1.7,0,6,2.743
832,30,0.318,7,5,2005,0,0.6,0.6,0.52,0.6,80,1.2,0,2,1,2,1,4,0,2,0.48,0,1.66,0,6,1.51
825,81,1.1216,8,5,2006,0,1.489,1.489,1.489,0,0,1.489,0,2,0,3,1,7,1,2,0.776,0,1.4,0,6,2.326
738,72,1.0463,8,5,2005,0,0.893,0.893,0.901,0.9,0,1.801,0,2,1,3,1,8,1,3,0.8,0,1.16,0,6,2.399
451,70,0.5684,6,8,1930,0,0.813,0.813,0.813,0,0,0.813,0,1,0,2,1,5,0,1,0.27,0,1.13,0,6,1.1
1339,95,1.345,7,5,2002,0.7,0.216,0.916,0.92,0.941,0,1.861,1,2,1,3,1,8,0,2,0.492,1.46,0.91,0,6,2
267,70,1.1207,6,5,1997,0.714,0.088,0.802,0.802,0.709,0,1.511,1,2,1,3,1,8,1,2,0.413,0.95,0.75,0,6,1.85
991,82,0.9452,8,5,1997,1.074,0.322,1.396,1.407,0.985,0,2.392,1,2,1,3,1,7,1,3,0.87,0,0.7,0,6,3.48
601,74,1.0927,8,5,2005,0.546,0.512,1.058,1.058,0.846,0,1.904,1,2,1,3,1,8,1,2,0.736,1.79,0.6,0,6,2.75
887,70,0.8393,5,5,1959,0.528,1.098,1.626,1.712,0,0,1.712,0,2,0,4,2,8,0,2,0.588,2.72,0.54,0,6,1.45
1298,35,0.3675,6,5,2005,0.547,0,0.547,1.072,0,0,1.072,1,2,0,2,1,5,0,2,0.525,0,0.44,0,6,1.4
246,80,1.04,7,5,1988,0.929,0.916,1.845,1.872,0,0,1.872,0,2,0,3,1,6,1,2,0.604,1.97,0.39,0,6,2.415
1057,43,0.7052,7,5,2005,0.659,0.705,1.364,1.364,0,0,1.364,1,2,0,2,1,6,1,2,0.484,1.92,0.36,0,6,1.8585
173,44,0.5306,7,7,1987,0.495,0.354,1.064,1.064,0.703,0,1.767,1,2,0,2,1,5,1,2,0.504,4.41,0.35,0,6,2.39
248,75,1.131,6,5,1954,0,1.367,1.367,1.375,0,0,1.375,0,1,0,2,1,5,1,2,0.451,0,0.3,0,6,1.4
1330,63,0.9084,7,5,1998,0,0.935,0.935,0.955,0.677,0,1.632,0,2,1,3,1,8,1,2,0.462,0,0.28,0,6,1.765
1069,42,0.3964,6,4,1973,0.837,0.105,0.942,1.291,1.23,0,2.521,1,2,1,5,1,10,1,2,0.576,7.28,0.2,0,6,1.514
449,50,0.86,6,6,1937,0,0.78,0.78,0.78,0.596,0,1.376,0,2,0,3,1,7,1,1,0.198,0,0,0,6,1.195
805,75,0.9,5,5,1954,0.812,0.124,0.936,1.128,0,0,1.128,0,1,0,2,1,5,0,1,0.286,0,0,0,6,1.18
1340,120,0.956,5,7,1972,0.36,0.504,0.864,0.864,0,0,0.864,0,1,0,3,1,5,0,1,0.288,0,0,0,6,1.285
233,21,0.168,6,5,1972,0,0.483,0.483,0.483,0.504,0,0.987,0,1,1,2,1,5,1,1,0.288,0,0,0,6,0.945
900,65,0.6993,5,7,1961,0.465,0.447,0.912,1.236,0,0,1.236,0,1,0,3,1,6,1,1,0.288,0,0,0,6,1.35
301,90,1.575,5,5,1953,0.841,0.324,1.165,1.336,0,0,1.336,1,1,0,2,1,5,2,1,0.375,0,0,0,6,1.57
809,85,1.34,5,5,1966,0.516,0.38,1.024,1.086,0,0,1.086,1,1,0,3,1,6,1,2,0.484,0,0,0,6,1.5995
157,60,0.72,5,7,1950,0,0,0,1.04,0,0,1.04,0,1,0,2,1,5,0,2,0.625,0,0,0,6,1.095
1379,21,0.1953,6,5,1973,0.309,0.174,0.483,0.483,0.504,0,0.987,0,1,1,2,1,5,0,1,0.264,0.72,0,0,6,0.83
185,92,0.7438,5,8,1908,0,0.504,0.504,0.936,0.316,0,1.252,0,1,0,3,1,5,0,2,0.576,1.04,0,0,6,1.27
1184,60,1.08,5,6,1920,0.821,0.299,1.12,1.13,0,0,1.13,1,1,0,2,1,5,1,2,0.72,2.29,0,0,6,1.2
778,100,1.335,5,5,1974,0.762,0.102,0.864,0.894,0,0,0.894,1,1,0,3,1,5,1,2,0.44,2.41,0,0,6,1.425
987,59,0.531,6,8,1910,0,0.485,0.485,1.001,0.634,0,1.635,0,1,0,2,1,5,0,1,0.255,3.94,0,0,6,1.17
936,52,0.5825,4,5,1926,0,0.6,0.6,0.747,0,0,0.747,0,1,0,1,1,5,0,2,0.528,0,0,0.32,6,0.799
355,60,0.84,6,5,1940,0.388,0.552,0.94,1.192,0.403,0,1.595,0,1,0,2,1,6,2,1,0.24,0,0,1.08,6,1.4
697,50,0.6,5,7,1921,0.616,0,0.616,0.616,0,0,0.616,0,1,0,2,1,4,0,1,0.205,0,0,1.29,6,0.89
631,50,0.9,5,6,1880,0,0.636,0.636,1.089,0.661,0,1.75,0,1,0,3,1,8,0,1,0.24,0,0,2.93,6,1.24
287,77,0.9786,6,7,1962,0.6,0.312,0.912,1.085,0.649,0,1.734,0,1,1,3,1,7,1,2,0.44,0,0,0,6,1.59
908,86,1.15,7,7,1936,0.223,0.794,1.017,1.02,1.037,0,2.057,0,1,1,3,1,6,1,1,0.18,0,0,0,6,2.5
360,78,1.2011,8,5,1998,0.956,0.13,1.086,1.086,0.838,0,1.924,1,2,1,3,1,7,1,2,0.592,2.08,0.75,0,6,2.8
186,90,2.295,10,9,1892,0,1.107,1.107,1.518,1.518,572,3.608,0,2,1,4,1,12,2,3,0.84,0,2.6,0,6,4.75
1387,80,1.6692,7,5,1978,0.79,0.133,1.392,1.392,1.392,0,2.784,1,3,1,5,1,12,2,2,0.564,0,1.12,0,7,2.5
130,69,0.8973,5,7,1958,0.567,0.413,1.008,1.053,0,0,1.053,0,1,1,3,1,6,0,2,0.75,0,0.8,0,7,1.5
830,24,0.2544,7,5,2005,0,0.6,0.6,0.52,0.623,80,1.223,0,2,1,2,1,4,0,2,0.48,0,1.66,0,7,1.474
782,65,0.7153,6,5,1992,0.387,0.374,0.761,0.81,0.793,0,1.603,0,2,1,3,1,7,0,2,0.484,0,1.24,0,7,1.759
404,93,1.209,8,5,1998,0,1.141,1.141,1.165,1.098,0,2.263,0,2,1,4,1,10,1,2,0.42,1.44,1.23,0,7,2.58
1064,50,0.6,6,6,1925,0.397,0.706,1.103,1.103,0,0,1.103,0,1,0,2,1,5,1,2,0.44,1.66,1.2,0,7,1.105
129,69,0.759,6,5,1966,0.512,0.148,0.66,0.66,0.688,0,1.348,0,1,1,3,1,6,1,2,0.453,1.88,1.08,0,7,1.55
1047,85,1.6056,9,5,2005,0.24,1.752,1.992,1.992,0.876,0,2.868,0,3,1,4,1,11,1,3,0.716,2.14,1.08,0,7,5.56581
703,82,1.2438,8,5,2006,0,1.234,1.234,1.264,1.312,0,2.576,0,2,1,4,1,10,1,3,0.666,3.24,1,0,7,3.61919
324,49,0.582,3,8,1955,0.256,0.906,1.162,1.163,0,0,1.163,1,1,0,3,1,6,0,1,0.22,1.42,0.98,0,7,1.26175
1205,78,1.014,5,6,1975,0.788,0.268,1.056,1.074,0,0,1.074,1,1,1,3,1,6,0,2,0.495,0,0.88,0,7,1.535
1170,118,3.576,10,5,1995,1.387,0.543,1.93,1.831,1.796,0,3.627,1,3,1,4,1,10,1,3,0.807,3.61,0.76,0,7,6.25
903,63,0.7875,7,5,2003,0,0.783,0.783,0.807,0.702,0,1.509,0,2,1,3,1,8,1,2,0.393,0,0.75,0,7,1.8
777,86,1.121,7,5,2005,0.02,1.594,1.614,1.614,0,0,1.614,0,2,0,3,1,7,0,3,0.865,1.44,0.59,0,7,2.215
1403,64,0.6762,7,5,2006,0,1.286,1.286,1.294,0,0,1.294,0,2,0,2,1,6,1,2,0.662,1.68,0.55,0,7,1.93879
1022,64,0.7406,7,5,2006,0.684,0.515,1.199,1.22,0,0,1.22,1,2,0,2,1,6,0,2,0.632,1.05,0.54,0,7,1.94
291,120,1.5611,8,5,2006,0,1.079,1.079,1.079,0.84,0,1.919,0,2,1,3,1,8,1,2,0.685,0,0.51,0,7,2.3323
1431,60,2.193,5,5,2005,0,0.732,0.732,0.734,1.104,0,1.838,0,2,1,4,1,7,1,2,0.372,1,0.4,0,7,1.9214
1236,96,1.3132,5,5,1914,0,0.747,0.747,0.892,0.892,0,1.784,0,1,1,4,1,9,0,1,0.18,2.03,0.4,0,7,1.38887
91,60,0.72,4,5,1950,0,0,0,1.04,0,0,1.04,0,1,0,2,1,4,0,2,0.42,0,0.29,0,7,1.099
753,79,0.9236,6,5,1997,1.2,0.279,1.479,1.494,0,0,1.494,1,2,0,3,1,6,0,2,0.576,1.68,0.27,0,7,2.17
1368,41,0.2665,5,6,1977,0.548,0.036,0.757,0.925,0.55,0,1.475,0,2,0,4,1,6,1,1,0.336,1.04,0.26,0,7,1.27
120,65,0.8461,6,5,2005,0,0.728,0.728,0.728,0.728,0,1.456,0,2,1,3,1,8,1,2,0.39,0,0.24,0,7,1.6399
12,85,1.1924,9,5,2005,0.998,0.177,1.175,1.182,1.142,0,2.324,1,3,0,4,1,11,2,3,0.736,1.47,0.21,0,7,3.45
1122,84,1.0084,7,5,2005,0.024,1.528,1.552,1.552,0,0,1.552,0,2,0,3,1,7,0,3,0.782,1.44,0.2,0,7,2.129
263,88,0.8471,6,7,1977,0.506,0,0.506,1.212,0,0,1.212,1,1,0,3,1,6,1,2,0.492,2.92,0.12,0,7,1.51
1201,71,0.9353,4,5,1970,0,0.864,0.864,0.864,0,0,0.864,0,1,0,3,1,5,0,1,0.28,0,0,0,7,1.1605
1113,73,0.71,5,7,1957,0.708,0.108,0.816,0.816,0,0,0.816,1,1,0,2,1,5,0,1,0.308,0,0,0,7,1.299
1175,80,1.656,6,8,1932,0.503,0.449,0.952,1.17,1.175,0,2.345,0,2,1,4,1,9,1,2,0.36,0,0,0,7,2.39
402,65,0.8767,7,5,2005,0.024,1.286,1.31,1.31,0,0,1.31,0,2,0,3,1,6,1,2,0.4,0,0,0,7,1.6499
737,60,0.8544,3,4,1950,0,0,0,1.04,0,0,1.04,0,2,0,2,2,6,0,2,0.4,0,0,0,7,0.935
702,80,0.96,7,5,1969,0,1.164,1.164,1.164,0,0,1.164,0,1,1,3,1,6,0,2,0.528,0,0,0,7,1.4
455,63,0.9297,5,5,1976,1.606,0.122,1.728,1.728,0,0,1.728,2,2,0,4,2,8,0,2,0.56,0,0,0,7,1.88
377,57,0.8846,5,5,1996,0.298,0.572,0.87,0.914,0,0,0.914,0,1,0,2,1,5,0,2,0.576,0,0,0,7,1.48
1332,55,1.078,5,5,1976,0.483,0.428,0.911,0.954,0,0,0.954,0,1,0,3,1,6,0,2,0.576,0,0,0,7,1.325
513,70,0.91,5,5,1958,0.521,0.169,0.864,0.864,0,0,0.864,1,1,0,3,1,5,0,2,0.624,0,0,0,7,1.299
138,82,1.107,7,5,1988,0,1.907,1.907,1.959,0,0,1.959,0,3,0,5,2,9,0,3,0.766,0,0,0,7,1.71
941,55,1.264,6,5,1976,0.936,0.396,1.728,1.728,0,0,1.728,0,2,0,4,2,8,0,2,0.574,0.4,0,0,7,1.509
696,54,1.3811,6,6,1987,0.98,0.092,1.112,1.137,0,0,1.137,1,2,0,2,1,5,1,2,0.551,1.25,0,0,7,1.76
214,43,1.3568,5,5,1995,0.716,0.274,0.99,0.99,0,0,0.99,0,1,0,3,1,5,0,2,0.576,2.24,0,0,7,1.56
304,70,0.98,5,7,1972,0.894,0,0.894,0.894,0,0,0.894,1,1,0,3,1,5,0,2,0.552,2.56,0,0,7,1.499
952,60,0.78,5,5,1965,0.641,0.187,0.828,0.965,0,0,0.965,1,1,0,3,1,6,0,1,0.3,4.21,0,0,7,1.199
182,54,0.7588,7,6,1920,0.352,0.441,0.793,0.901,0.901,0,1.802,0,1,1,4,1,9,1,1,0.216,0,0,0.4,7,2.001
670,80,1.16,4,5,1922,0,0.7,0.7,1.18,0,0,1.18,0,1,0,2,1,5,1,1,0.252,0,0,0.67,7,1.375
815,45,0.8248,5,7,1918,0,0.686,0.686,0.686,0.564,0,1.25,0,1,1,3,1,7,0,1,0.28,2.07,0,0.96,7,1.16
70,81,1.5593,7,4,1953,0.603,0.701,1.304,1.304,0.983,0,2.287,0,2,0,3,1,7,1,2,0.667,0,0.21,1.14,7,2.25
135,78,1.0335,5,6,1968,0.57,0.891,1.461,1.721,0,0,1.721,0,2,1,3,1,7,1,2,0.44,0,0.96,1.8,7,1.8
1334,60,0.72,5,6,1938,0,0.803,0.803,0.803,0.557,0,1.36,0,1,1,2,1,6,0,1,0.297,0,0.65,1.9,7,1.255
1188,89,1.2461,8,5,1994,1.456,0.168,1.624,1.624,0,0,1.624,1,2,0,2,1,5,1,3,0.757,0,1.14,1.92,7,2.62
1104,79,0.891,6,6,1959,0.655,0,0.655,1.194,0,0,1.194,0,1,0,3,1,6,1,2,0.539,0,0,1.92,7,1.595
1120,70,0.756,5,5,1959,0.369,0.671,1.04,1.04,0,0,1.04,0,1,0,3,1,6,0,1,0.286,1.4,0,2.52,7,1.337
1153,90,1.4115,6,7,1956,0.296,0.23,1.073,1.811,0,0,1.811,0,1,0,2,1,6,1,2,0.47,0,0,2.8,7,2.3
359,92,0.693,5,4,1958,0.3,0.468,1.062,1.352,0,0,1.352,0,1,0,3,1,6,0,1,0.288,1.68,0,2.94,7,1.3
1198,65,0.885,7,6,1916,0,0.815,0.815,0.815,0.875,0,1.69,0,1,0,3,1,7,1,1,0.225,0,0,3.3,7,1.44
1282,50,0.8049,7,5,1990,1.053,0.256,1.309,1.339,0,0,1.339,1,2,0,2,1,6,1,2,0.484,0,0.58,0,7,1.8
913,51,0.612,5,7,1925,0.489,0.279,0.768,1.015,0,0,1.015,0,1,0,3,1,6,0,1,0.45,0,0,1.12,7,0.88
855,102,1.792,5,4,1955,0.306,0.372,1.763,1.779,0,0,1.779,1,1,1,3,1,6,1,2,0.454,0,4.18,0,7,1.7
382,60,0.72,7,5,2006,0,1.293,1.293,1.301,0,0,1.301,1,2,0,2,1,5,1,2,0.572,2.16,1.21,0,8,1.8775
